Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
CHINESE A LAL HL,CHINESE A LAL,HL,50,5.92,0,0,0,4,18,60,18,Nov,2019
CHINESE A LAL SL,CHINESE A LAL,SL,112,6.07,0,0,0,0,15.2,62.5,22.3,Nov,2019
CHINESE A LIT HL,CHINESE A LIT,HL,57,5.55,0,0,1.8,3.6,39.3,48.2,7.1,Nov,2019
CHINESE A LIT SL,CHINESE A LIT,SL,103,5.61,0,0,1,3.9,41.7,39.8,13.6,Nov,2019
ENGLISH A LAL HL,ENGLISH A LAL,HL,2256,4.91,0,0,7.3,33.3,25.9,27.6,5.9,Nov,2019
ENGLISH A LAL SL,ENGLISH A LAL,SL,1680,5.27,0,0.1,3.4,19.1,28.8,44.1,4.5,Nov,2019
ENGLISH A LIT HL,ENGLISH A LIT,HL,1331,5.24,0,0.2,2.1,22,36.4,28.2,11.2,Nov,2019
ENGLISH A LIT SL,ENGLISH A LIT,SL,837,5.04,0,0.5,4.8,25.3,33.9,30.2,5.2,Nov,2019
FRENCH A LAL HL,FRENCH A LAL,HL,11,4.91,0,0,0,45.5,18.2,36.4,0,Nov,2019
FRENCH A LAL SL,FRENCH A LAL,SL,31,5.32,0,0,0,22.6,29,41.9,6.5,Nov,2019
FRENCH A LIT SL,FRENCH A LIT,SL,19,5.29,0,0,0,35.3,23.5,17.6,23.5,Nov,2019
GERMAN A LAL HL,GERMAN A LAL,HL,22,4.94,0,0,5.6,27.8,38.9,22.2,5.6,Nov,2019
GERMAN A LAL SL,GERMAN A LAL,SL,24,4.5,0,0,20.8,37.5,16.7,20.8,4.2,Nov,2019
GERMAN A LIT HL,GERMAN A LIT,HL,23,4.61,0,0,13,21.7,56.5,8.7,0,Nov,2019
GERMAN A LIT SL,GERMAN A LIT,SL,10,5.2,0,0,10,30,20,10,30,Nov,2019
JAPANES A LAL HL,JAPANES A LAL,HL,16,5.56,0,0,0,12.5,18.8,68.8,0,Nov,2019
JAPANES A LAL SL,JAPANES A LAL,SL,18,5.72,0,0,0,11.1,22.2,50,16.7,Nov,2019
JAPANES A LIT HL,JAPANES A LIT,HL,152,5.66,0,0,0,9.3,33.8,38.4,18.5,Nov,2019
JAPANES A LIT SL,JAPANES A LIT,SL,52,6.1,0,0,0,0,19.2,51.9,28.8,Nov,2019
KOREAN A LIT HL,KOREAN A LIT,HL,17,5.71,0,0,0,5.9,35.3,41.2,17.6,Nov,2019
KOREAN A LIT SL,KOREAN A LIT,SL,46,5.85,0,0,0,8.7,17.4,54.3,19.6,Nov,2019
PORTUGU A LAL HL,PORTUGU A LAL,HL,51,5.24,0,0,2,14.3,49,26.5,8.2,Nov,2019
PORTUGU A LAL SL,PORTUGU A LAL,SL,29,5.25,0,0,8.3,16.7,33.3,25,16.7,Nov,2019
PORTUGU A LIT HL,PORTUGU A LIT,HL,41,5.32,0,0,0,22,34.1,34.1,9.8,Nov,2019
PORTUGU A LIT SL,PORTUGU A LIT,SL,17,5.75,0,0,6.3,6.3,25,31.3,31.3,Nov,2019
SISWATI A LIT SL,SISWATI A LIT,SL,10,5.3,0,0,0,10,50,40,0,Nov,2019
SPANISH A LAL HL,SPANISH A LAL,HL,1880,4.69,0,1.3,10.9,27.8,39.1,19,1.9,Nov,2019
SPANISH A LAL SL,SPANISH A LAL,SL,226,5.33,0,0,2.8,17.4,32.6,39,8.3,Nov,2019
SPANISH A LIT HL,SPANISH A LIT,HL,6265,4.54,0.1,3.4,12.3,28.9,39,14.7,1.7,Nov,2019
SPANISH A LIT SL,SPANISH A LIT,SL,200,5.07,0,0,5,24,38.5,24.5,8,Nov,2019
TURKISH A LIT HL,TURKISH A LIT,HL,151,5.53,0,0.7,1.4,9.7,34,41,13.2,Nov,2019
CHINESE B HL,CHINESE B,HL,139,6.64,0,0,0,0.7,4.3,25.4,69.6,Nov,2019
CHINESE B SL,CHINESE B,SL,1220,6.73,0,0,0.2,1.4,4.1,13.7,80.6,Nov,2019
ENGLISH AB. SL,ENGLISH AB.,SL,1242,4.01,0,7.7,34.9,24.1,17.6,12.7,2.9,Nov,2019
ENGLISH B HL,ENGLISH B,HL,6850,5.23,0,0.1,2.3,21.2,32.6,38.7,5.2,Nov,2019
ENGLISH B SL,ENGLISH B,SL,863,5.15,0,0.2,7.7,19.1,29.4,37.1,6.5,Nov,2019
FRENCH AB. SL,FRENCH AB.,SL,631,5.04,0,1,11.7,22.4,23.6,29.6,11.7,Nov,2019
FRENCH B HL,FRENCH B,HL,230,5.16,0,0.4,8.8,17.3,33.6,27,12.8,Nov,2019
FRENCH B SL,FRENCH B,SL,674,5.63,0,0,2.1,10.1,28.7,41,18.1,Nov,2019
GERMAN B HL,GERMAN B,HL,467,5.32,0,0,3.2,17.9,33,35.3,10.6,Nov,2019
GERMAN B SL,GERMAN B,SL,128,5.41,0,0,1.6,16.7,34.1,34.1,13.5,Nov,2019
INDONESIAN AB SL,INDONESIAN AB,SL,99,5.63,0,0,5.1,9.1,27.3,35.4,23.2,Nov,2019
INDONESIAN B HL,INDONESIAN B,HL,11,6.27,0,0,0,0,18.2,36.4,45.5,Nov,2019
INDONESIAN B SL,INDONESIAN B,SL,35,6.14,0,0,0,2.9,14.3,48.6,34.3,Nov,2019
ITALIAN B HL,ITALIAN B,HL,34,5.71,0,0,2.9,5.9,26.5,47.1,17.6,Nov,2019
ITALIAN B SL,ITALIAN B,SL,11,6.09,0,0,0,9.1,9.1,45.5,36.4,Nov,2019
JAPANESE AB. SL,JAPANESE AB.,SL,110,5.74,0,0.9,3.6,14.5,14.5,34.5,31.8,Nov,2019
JAPANESE B HL,JAPANESE B,HL,29,6.17,0,0,0,6.9,20.7,20.7,51.7,Nov,2019
JAPANESE B SL,JAPANESE B,SL,112,5.7,0,0,0.9,10.7,26.8,41.1,20.5,Nov,2019
LATIN HL,LATIN,HL,26,6.48,0,0,0,0,16,20,64,Nov,2019
LATIN SL,LATIN,SL,32,6,0,0,3.3,6.7,10,46.7,33.3,Nov,2019
MALAY B SL,MALAY B,SL,115,6.44,0,0,0,0.9,10.4,32.2,56.5,Nov,2019
MANDARIN AB. SL,MANDARIN AB.,SL,202,6.15,0,0,3,6.5,12.9,27.4,50.2,Nov,2019
PORTUGUESE B SL,PORTUGUESE B,SL,33,5.85,0,0,0,3,21.2,63.6,12.1,Nov,2019
SPANISH AB. SL,SPANISH AB.,SL,859,5.54,0,0.2,3.1,12.7,28.3,37.8,17.9,Nov,2019
SPANISH B HL,SPANISH B,HL,63,5.69,0,0,6.6,6.6,19.7,45.9,21.3,Nov,2019
SPANISH B SL,SPANISH B,SL,122,5.68,0,0.9,1.7,10.3,24.8,41,21.4,Nov,2019
BRAZ.SOC.STUD SL,BRAZ.SOC.STUD,SL,42,4.75,0,5,10,27.5,27.5,22.5,7.5,Nov,2019
BUS MAN HL,BUS MAN,HL,3342,4.22,0.6,9.3,20.8,30.8,19.5,13.3,5.7,Nov,2019
BUS MAN SL,BUS MAN,SL,1701,4.29,0.1,3.4,21.2,32.8,30.4,8.9,3.1,Nov,2019
ECONOMICS HL,ECONOMICS,HL,2058,5.31,0.2,3.1,8.7,13.3,24.3,28.9,21.5,Nov,2019
ECONOMICS SL,ECONOMICS,SL,963,5.12,0.4,5.6,11.3,15.5,20.3,24.8,22,Nov,2019
GEOGRAPHY HL,GEOGRAPHY,HL,730,5.28,0,1.4,9.6,12.6,28.1,32.2,16.1,Nov,2019
GEOGRAPHY SL,GEOGRAPHY,SL,274,4.99,0.4,5.6,10.4,15.9,28.1,25.9,13.7,Nov,2019
GLOB. POL HL,GLOB. POL,HL,248,5.3,0,0,1.2,14.8,46.7,27.9,9.4,Nov,2019
GLOB. POL SL,GLOB. POL,SL,124,4.93,0,4.3,10.3,15.4,38.5,21.4,10.3,Nov,2019
HISTORY HL,HISTORY,HL,6054,3.92,0.7,10.3,23.2,38.1,19.8,6.1,1.9,Nov,2019
HISTORY SL,HISTORY,SL,1298,4.24,0.4,5.7,17.2,38.6,25.5,10,2.7,Nov,2019
ITGS HL,ITGS,HL,754,4.21,0,1.9,18.1,45.1,27.4,6.9,0.7,Nov,2019
ITGS SL,ITGS,SL,746,4.6,0.1,0.5,6.3,36.5,46.4,9.1,0.9,Nov,2019
PHILOSOPHY HL,PHILOSOPHY,HL,141,5.12,0,2.4,7.9,16.5,31.5,32.3,9.4,Nov,2019
PHILOSOPHY SL,PHILOSOPHY,SL,151,4.87,0,0.7,4.4,32.1,37.2,21.2,4.4,Nov,2019
PSYCHOLOGY HL,PSYCHOLOGY,HL,969,5.32,0,0.7,7.1,14.9,25.2,41.1,10.9,Nov,2019
PSYCHOLOGY SL,PSYCHOLOGY,SL,305,4.85,0,2.3,15.7,24.1,22.4,23.7,11.7,Nov,2019
SOC.CUL.ANTH. HL,SOC.CUL.ANTH.,HL,101,4.84,3.1,4.1,12.4,20.6,18.6,28.9,12.4,Nov,2019
SOC.CUL.ANTH. SL,SOC.CUL.ANTH.,SL,47,4.51,0,2.1,29.8,23.4,14.9,19.1,0,Nov,2019
BIOLOGY HL,BIOLOGY,HL,2595,4.61,0.6,8,18,20.4,20.6,21.6,10.9,Nov,2019
BIOLOGY SL,BIOLOGY,SL,4753,3.64,1.2,15.6,37,24.4,11.4,7.7,2.9,Nov,2019
CHEMISTRY HL,CHEMISTRY,HL,2463,5.28,0.1,5.3,10.6,14.7,19.3,20,30,Nov,2019
CHEMISTRY SL,CHEMISTRY,SL,2903,3.62,3.9,26.9,26.4,14.4,10.9,9.5,8,Nov,2019
COMPUTER SC. HL,COMPUTER SC.,HL,194,4.03,2.3,16.6,24.6,14.9,20.6,16.6,4.6,Nov,2019
COMPUTER SC. SL,COMPUTER SC.,SL,169,3.1,11.3,35.1,24.5,8.6,8.6,6,6,Nov,2019
DESIGN TECH. HL,DESIGN TECH.,HL,112,4.42,0.9,2.8,20.4,28.7,26.9,17.6,2.8,Nov,2019
DESIGN TECH. SL,DESIGN TECH.,SL,73,3.78,0,12.5,34.7,29.2,12.5,8.3,2.8,Nov,2019
PHYSICS HL,PHYSICS,HL,1580,5.03,0.7,6.2,16.9,15,15.3,18.7,27.2,Nov,2019
PHYSICS SL,PHYSICS,SL,2397,3.67,5.3,22.7,27,15.7,12.4,7.7,9.3,Nov,2019
SPORTS EX SCI HL,SPORTS EX SCI,HL,268,5.75,0,0.4,2.6,12,17.7,41,26.3,Nov,2019
SPORTS EX SCI SL,SPORTS EX SCI,SL,460,4.19,0,5.1,30.2,26.5,21,13.7,3.5,Nov,2019
MATH.STUDIES SL,MATH.STUDIES,SL,4972,3.77,3.8,18.1,23.6,23.2,18,9.7,3.5,Nov,2019
MATHEMATICS HL,MATHEMATICS,HL,1940,5,0.8,7.1,12.2,16.4,18.9,24.4,20.2,Nov,2019
MATHEMATICS SL,MATHEMATICS,SL,8151,3.9,2,16.6,25.3,23.7,15.8,10.9,5.8,Nov,2019
DANCE HL,DANCE,HL,42,6.43,0,0,0,0,11.9,33.3,54.8,Nov,2019
FILM HL,FILM,HL,187,4.92,0,1.7,8.3,24.3,33.7,26,6.1,Nov,2019
FILM SL,FILM,SL,67,4.15,0,1.5,24.6,44.6,15.4,13.8,0,Nov,2019
MUSIC HL,MUSIC,HL,178,5.59,0,0,3.4,6.9,35.6,35.1,19,Nov,2019
MUSIC SL,MUSIC,SL,126,4.78,0,0.8,14.5,25,33.9,16.9,8.9,Nov,2019
THEATRE HL,THEATRE,HL,200,5.65,0,1,2.1,12.4,20.2,43.5,20.7,Nov,2019
THEATRE SL,THEATRE,SL,90,4.81,0,0,5.9,35.3,36.5,16.5,5.9,Nov,2019
VISUAL ARTS HL,VISUAL ARTS,HL,997,4.72,0,0.9,14.3,27.7,30.9,21.2,5.1,Nov,2019
VISUAL ARTS SL,VISUAL ARTS,SL,1107,3.98,0,2.5,30.5,39.9,22,4.1,1,Nov,2019
ENV. AND SOC. SL,ENV. AND SOC.,SL,1852,3.96,1.3,12,24.8,29.3,19.9,9.2,3.5,Nov,2019
LIT AND PERF SL,LIT AND PERF,SL,29,5.59,0,0,3.4,0,37.9,51.7,6.9,Nov,2019
